CCTV-1HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv1hd
CCTV-2HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv2hd
CCTV-3HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv3hd
CCTV-4HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv4hd
CCTV-5HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv5hd
CCTV-5+HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv5phd
CCTV-6HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv6hd
CCTV-7HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv7hd
CCTV-8HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv8hd
CCTV-9HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv9hd
CCTV-10HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv10hd
CCTV-12HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv12hd
CCTV-13HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv13hd
CCTV-14HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv14hd
CCTV-17HD,rtmp://iptv.pdsu.edu.cn/livetv/cctv17hd
CGTNHD,rtmp://iptv.pdsu.edu.cn/livetv/cgtnhd
CHC高清电影,rtmp://iptv.pdsu.edu.cn/livetv/chchd
河南卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/hnhd
卡通剧场HD,rtmp://iptv.pdsu.edu.cn/livetv/ktjchd
大众影视HD,rtmp://iptv.pdsu.edu.cn/livetv/dzyshd
家庭影院HD,rtmp://iptv.pdsu.edu.cn/livetv/jtyyhd
家庭剧场HD,rtmp://iptv.pdsu.edu.cn/livetv/jtjchd
北京卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/btv1hd
北京文艺HD,rtmp://iptv.pdsu.edu.cn/livetv/btv2hd
北京纪实HD,rtmp://iptv.pdsu.edu.cn/livetv/btv11hd
北京影视HD,rtmp://iptv.pdsu.edu.cn/livetv/btv4hd
北京新闻HD,rtmp://iptv.pdsu.edu.cn/livetv/btv9hd
湖南卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/hunanhd
浙江卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/zjhd
江苏卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/jshd
东方卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/dfhd
安徽卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/ahhd
黑龙江卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/hljhd
辽宁卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/lnhd
深圳卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/szhd
广东卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/gdhd
天津卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/tjhd
湖北卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/hbhd
山东卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/sdhd
重庆卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/cqhd
上海纪实HD,rtmp://iptv.pdsu.edu.cn/livetv/docuchina
金鹰纪实HD,rtmp://iptv.pdsu.edu.cn/livetv/gedocu
福建东南卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/dnhd
四川卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/schd
河北卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/hebhd
江西卫视HD,rtmp://iptv.pdsu.edu.cn/livetv/jxhd
中国教育电视台1HD,rtmp://iptv.pdsu.edu.cn/livetv/cetv1hd
凤凰中文,rtmp://iptv.pdsu.edu.cn/livetv/fhzw
凤凰资讯,rtmp://iptv.pdsu.edu.cn/livetv/fhzx
凤凰电影,rtmp://iptv.pdsu.edu.cn/livetv/fhdy
Discovery,rtmp://iptv.pdsu.edu.cn/livetv/discovery
国家地理,rtmp://iptv.pdsu.edu.cn/livetv/natlgeo
Channel V,rtmp://iptv.pdsu.edu.cn/livetv/channelv
星空卫视,rtmp://iptv.pdsu.edu.cn/livetv/startv
Star Sports,rtmp://iptv.pdsu.edu.cn/livetv/starsports
CCTV-1综合,rtmp://iptv.pdsu.edu.cn/livetv/cctv1
CCTV-2财经,rtmp://iptv.pdsu.edu.cn/livetv/cctv2
CCTV-3综艺,rtmp://iptv.pdsu.edu.cn/livetv/cctv3
CCTV-4中文国际,rtmp://iptv.pdsu.edu.cn/livetv/cctv4
CCTV-5体育,rtmp://iptv.pdsu.edu.cn/livetv/cctv5
CCTV-6电影,rtmp://iptv.pdsu.edu.cn/livetv/cctv6
CCTV-7军事农业,rtmp://iptv.pdsu.edu.cn/livetv/cctv7
CCTV-8电视剧,rtmp://iptv.pdsu.edu.cn/livetv/cctv8
